HS_ID,Opp ID,"Event/
Non-Event",Builder,"Project 
Name",City,Package_ID,"Product_Sub_
category",Quantity,Sales,"APM 
Name",Expected TAT,HS _Product,Status,Latest_Date,TL Name,TL Rating,Projected Hour,Working Hour,Remaining Hour,Project Work Priority Status,Partial Delivery Status,Project FeedBack,Beyond TAT comments,Apprvoal ,Link 1,No
X1,Profile Video,,Profile Video,Profile Video,,,,,,Anil,,Profile_Video,,,Shubham,,502:15:00,485:11:56,,,,,,,,1
Y1,Digilite,,Digilite,Digilite,,,,,,Anil,,Digilite,,,Ankur Sharma & Vivek Kumar & Parth Kaushik,,690:36:00,697:40:56,,,,,,,,1
Z1,PT Virtual Tour,,PT Virtual Tour,PT Virtual Tour,,,,,,Anil,,PT_Virtual_Tour,,,Ankur Sharma,,166:53:00,162:31:45,,,,,,,,1
V1,Offline Digtour Video Creation,,Offline Digtour Video Creation,Offline Digtour Video Creation,,,,,,,,Offline Digtour Video Creation,,,Shubham,,29:05:00,29:05:00,,,,,,,,1
A3,https://lookup.housing.com/opportunity/2695648,,Pks Buildmart,Pks Buildmart,Noida,1230585,,1,Neeraj Malhotra,Jagadish,,Virtual_Full_Project_Digitour,Deemed Consumed,9-Jul-2024,Parth Kaushik,3,321:30:00,321:25:00,0:05:00,,,,"Server crash, recreated project ",,,3
A11,https://lookup.housing.com/opportunity/2877135,,Aniruddha Group,Aniruddha Group - KT Infra,Mumbai,,,1,Rohan Yeshwant Nimbalkar,Anil,,Virtual_Full_Project_Digitour,Deemed Consumed,7-Jan-2025,Ankur Sharma,,0:00:00,0:00:00,0:00:00,,,,,,,11
A13,,,,,,,,,,,,,,,,,0:00:00,0:00:00,0:00:00,,,,,,,13
A81,https://lookup.housing.com/opportunity/3089727,,KRasa International Pvt. Ltd.,KRasa International Pvt. Ltd.,Noida,1217907,WT Q3,1,Tarang Saxena,Jagadish,,Walkthrough,Deemed Consumed,28-Oct-2024,Parth Kaushik,2,1052:25:00,1051:20:00,1:05:00,,,"Time taken too much in tower model creation 
Delivered without water mark ",,"Approval recived from RBH
Approval recived from BH
Approval recived from Abhiudaya ",,81
A140,https://lookup.housing.com/opportunity/3204756,,Palm Olympia,Palm Olympia,Noida,1413959,,1,Manjot Singh,Jagadish,60,Virtual_Full_Project_Digitour,Final Delivery,17-Mar-2025,Ankur Sharma,2,14:30:00,4:30:00,10:00:00,,,"Need to improve on data check 
Not filled estimation time 
Tower model made mistak",,Approval recived from Abhiudaya and AD,20 Sept 2023,140
A162,https://lookup.housing.com/opportunity/3273601,,KRasa International Pvt. Ltd.,KRasa International Pvt. Ltd.,Noida,1435476,Dependent Product,4,Tarang Saxena,Jagadish,,RenderViews_StillImages,Deemed Consumed,16-Jul-2024,Vivek Kumar,,0:00:00,0:00:00,0:00:00,,,,,,,162
A306,https://lookup.housing.com/opportunity/3865289,,Modern Spaaces,Vista,Bangalore,1602372,,1,Deepak Kumar Panigrahy / Ankit Vaid,Jagadish,,Virtual_Full_Project_Digitour,Deemed Consumed,10-Dec-2024,Ankur Sharma,,109:00:00,103:00:00,6:00:00,,,,As there are no update so deemed consumed ,,,306
A312,https://lookup.housing.com/opportunity/3866099,,Z estates,Z Padmabha,Bhubaneswar,1602751,,1,Debashis Das,Jagadish,,Virtual_Full_Project_Digitour,Deemed Consumed,13-Sep-2024,Parth Kaushik,,447:30:00,449:10:00,-1:40:00,,,,,,,312
A342,https://lookup.housing.com/opportunity/6679942,,Well Wisher Group,Well Wisher Group - Q3 - 3 MIn ,Pune,2156013,Dependent Product,1,Lubaba Navid Momin,Anil,,Walkthrough,Final Delivery with Watermark,9-Apr-2025,Parth Kaushik,,922:30:00,922:32:45,-0:02:45,,>30 Days,,"Modeling changes done with Amit M's approval, then Sachet's approval",,,342
A343,https://lookup.housing.com/opportunity/6679942,,Well Wisher Group,Well Wisher Group - Aerial,Pune,2158231,Dependent Product,1,Lubaba Navid Momin,Anil,,RenderViews_StillImages,Deemed Consumed,2-Jul-2024,Parth Kaushik & Vivek Kumar,,0:00:00,0:00:00,0:00:00,,,,,,,343
A344,https://lookup.housing.com/opportunity/6679942,,Well Wisher Group,Well Wisher Group - Exterior,Pune,2158229,Dependent Product,1,Lubaba Navid Momin,Anil,,RenderViews_StillImages,Deemed Consumed,2-Jul-2024,Parth Kaushik & Vivek Kumar,,0:00:00,0:00:00,0:00:00,,,,,,,344
A362,https://lookup.housing.com/opportunity/3934414,,DEM Infra Pvt Ltd,DEM Infra Pvt Ltd - Q2 - 3 Min ,Mumbai,1629233,WT Q2,1,Shantanu Pai,Anil,55,Walkthrough,Deemed Consumed,7-Nov-2024,Ankur Sharma,,294:00:00,282:07:00,11:53:00,,,,,,,362
A381,https://lookup.housing.com/opportunity/4245832,,The Pristine Horizon,The Pristine Horizon - Iconic Properties,Pune,1689002,Dependent Product,1,Shraddha Suresh Mange Bhanushali,Anil,,Virtual_Full_Project_Digitour,1st Rework End,5-May-2025,Ankur Sharma,,311:30:00,322:09:01,-10:39:01,,>30 Days,,,,,381
A382,https://lookup.housing.com/opportunity/4245832,,The Pristine Horizon,The Pristine Horizon - Iconic Properties,Pune,1688989,Dependent Product,1,Shraddha Suresh Mange Bhanushali,Anil,,Virtual_Apartment_Digitour,Approval after Deemed Consume,5-Feb-2025,,,75:00:00,82:00:00,-7:00:00,,,,,,,382
A395,https://lookup.housing.com/opportunity/4410490,,SJ Developers,SJ Developers,Bhubaneswar,1721307,,1,Debashis Das,Jagadish,,Rework,Deemed Consumed,7-Oct-2024,Parth Kaushik,,271:00:00,263:45:00,7:15:00,,,,,,,395
A399,https://lookup.housing.com/opportunity/4489560,,Pyramid Infratech Pvt Ltd,Pyramid Infratech Pvt Ltd - Quality 4,Mumbai,1736244,Dependent Product,1,Umez Munaf Mulla,Anil,,Walkthrough,Deemed Consumed,11-Oct-2024,Ankur Sharma,,0:00:00,0:00:00,0:00:00,,,,,,,399
A400,https://lookup.housing.com/opportunity/4489560,,Pyramid Infratech Pvt Ltd,Pyramid Infratech Pvt Ltd,Mumbai,1736244,Dependent Product,1,Umez Munaf Mulla,Anil,,Virtual_Apartment_Digitour,Deemed Consumed,11-Oct-2024,Ankur Sharma,,0:00:00,0:00:00,0:00:00,,,,,,,400
A402,https://lookup.housing.com/opportunity/4510360,,Mana Projects Pvt. Ltd.,The Right Life,Bangalore,1740458,Dependent Product,1,Deepak Kumar Panigrahy,Jagadish,,Slice_View,Deemed Consumed,31-Jan-2025,Outsource ,,25:30:00,24:28:02,1:01:58,,,,,,,402
A403,https://lookup.housing.com/opportunity/4510360,,Mana Projects Pvt. Ltd.,The Right Life,Bangalore,1740456,Dependent Product,1,Deepak Kumar Panigrahy,Jagadish,,Walkthrough,Final Delivery,22-Apr-2025,Ankur Sharma & Vivek Kumar,,610:30:00,586:30:41,23:59:19,,,,,,,403
A423,https://lookup.housing.com/opportunity/4742992,MHU'24,Happy Home Group,Happy Home Group,Surat,1770507,,1,Pratik Dave,Anil,,Virtual_Apartment_Digitour,Deemed Consumed,21-Nov-2024,,,0:00:00,0:00:00,0:00:00,,,,,,,423
A426,https://lookup.housing.com/opportunity/4565899,-,The Pristine Horizon,The Pristine Horizon - Iconic Properties - Aerial,Pune,1748993,Dependent Product,1,Shraddha Suresh Mange Bhanushali,Anil,,RenderViews_StillImages,Deemed Consumed,27-Dec-2024,,,0:00:00,0:00:00,0:00:00,,,,,,,426
A427,https://lookup.housing.com/opportunity/4565899,-,The Pristine Horizon,The Pristine Horizon - Iconic Properties - Elevation,Pune,1748992,Dependent Product,3,Shraddha Suresh Mange Bhanushali,Anil,,RenderViews_StillImages,Deemed Consumed,27-Dec-2024,,,6:00:00,5:37:03,0:22:57,,,,,,,427
A431,https://lookup.housing.com/opportunity/4566137,MHU'24,S G Shirke Group,S G Shirke Group,Mumbai,1749095,,1,Harshil Sunil Doshi,Anil,,Virtual_Apartment_Digitour,Deemed Consumed,30-Nov-2024,,,0:00:00,0:00:00,0:00:00,,,,,,,431
A446,https://lookup.housing.com/opportunity/4829129,MHU'24,Art Nirman Pvt Ltd,"Art Nirman Pvt Ltd - Vishnudhara Nidhi
",Ahmedabad,1786552,,1,Himanshu Himmatlal Parasharya,Anil,,Virtual_Apartment_Digitour,Final Delivery,29-Apr-2025,,,14:00:00,14:53:10,-0:53:10,,,,,,,446
A448,https://lookup.housing.com/opportunity/4456165,MHU'24,Evos Buildcon Pvt. Ltd.,Evos Buildcon Pvt. Ltd.,Bhubaneswar,1746352,,1,Madhushree Mukherjee,Jagadish,,Real_Apartment_Digitour,Deemed Consumed,11-Dec-2024,Outsource ,,0:00:00,0:00:00,0:00:00,,,,,,,448
A450,,-,,,,,,,,,,,,,,,0:00:00,0:00:00,0:00:00,,,,,,,450
A456,https://lookup.housing.com/opportunity/4789860,-,DN Homes,DN Homes,Bhubaneswar,1778501,,1,Bikash Singh,Jagadish,,Virtual_Apartment_Digitour,Deemed Consumed,2-Dec-2024,,,0:00:00,0:00:00,0:00:00,,,,,,,456
A469,https://lookup.housing.com/opportunity/4920307,MHU'24,Sara Eminent,Park Belles,Dehradun,1806260,,2,Shashank Tyagi,Jagadish,,Virtual_Apartment_Digitour,Deemed Consumed,23-Dec-2024,,,0:00:00,0:00:00,0:00:00,,,,,,,469
A473,https://lookup.housing.com/opportunity/4954888,-,Aasritha Infra Projects,Aasritha Infra Projects,Hyderabad,1810138,Highly Custom,1,Madisetty Sai Charith,Anil,35,Virtual_Villa_Digitour,Final Delivery,15-May-2025,Ankur Sharma,2,88:00:00,97:40:00,-9:40:00,,,QC not done in the 1st rework the guest toilet is in very low light. 6 Jan 25 - rework Galaxy merger not done,,,,473
A474,https://lookup.housing.com/opportunity/4954888,-,Aasritha Infra Projects,Aasritha Infra Projects,Hyderabad,1810136,Dependent Product,1,Madisetty Sai Charith,Anil,,Real_Villa_Digitour,Deemed Consumed,31-Jan-2025,,,0:00:00,0:00:00,0:00:00,,,Internal Deemed,,,,474
A477,https://lookup.housing.com/opportunity/4596072,MHU'24,Samarth Infra,Samarth Infra,Nashik,1753957,,1,Shaikh Saddam Rafique,Anil,,Virtual_Apartment_Digitour,Deemed Consumed,31-Oct-2024,,,0:00:00,0:00:00,0:00:00,,,,,,,477
A483,https://lookup.housing.com/opportunity/4954888,-,Aasritha Infra Projects,Aasritha Infra Projects,Hyderabad,1810138,Dependent Product,1,Madisetty Sai Charith,Anil,35,Virtual_Villa_Digitour,Deemed Consumed,31-Jan-2025,,,44:00:00,45:51:18,-1:51:18,,,Internal Deemed,,,,483
A488,https://lookup.housing.com/opportunity/5137813,-,KLJ Developers Private Limited,KLJ Developers Private Limited,Delhi,1850616,,1,Apurva Gupta,Jagadish,75,Virtual_Full_Project_Digitour,1st Tower Modeling Rework End,10-Jan-2025,Ankur Sharma,3,178:00:00,184:15:12,-6:15:12,,>30 Days,,Stoped work for payment issue,,,488
A490,https://lookup.housing.com/opportunity/5164696,-,Manohar singh & co,Manohar singh & co,Chandigarh,1857555,,1,Khagesh Mahajan,Anil,,Digiplot,Deemed Consumed,5-Feb-2025,Outsource ,,0:00:00,0:00:00,0:00:00,,,,,,,490
A491,https://lookup.housing.com/opportunity/5165928,-,GROUP G,GROUP G,Bhubaneswar,1856779,,1,Madhushree Mukherjee,Jagadish,,Virtual_Full_Project_Digitour,Final Delivery,28-May-2025,Ankur Sharma,,97:00:00,88:58:46,8:01:14,,,,,,,491
A492,https://lookup.housing.com/opportunity/5087298,-,SYUG,SYUG,Bangalore,1848948,,1,Deepak Kumar Panigrahy,Jagadish,,Virtual_Full_Project_Digitour,1st Rework End,5-Jun-2025,,,336:00:00,341:11:11,-5:11:11,,>7 Days,,,,,492
A493,https://lookup.housing.com/opportunity/5087298,-,SYUG,SYUG,Bangalore,1848946,,1,Deepak Kumar Panigrahy,Jagadish,,Virtual_Full_Project_Digitour,Deemed Consumed,28-Feb-2025,,,0:00:00,0:00:00,0:00:00,,,,,,,493
A500,https://lookup.housing.com/opportunity/4363607,-,Dera Developers,Dera Developers,Nagpur,1710158,,1,Himanshi Lalbahadur Pal,Anil,,Digiplot,1st Rework End,17-Apr-2025,,,8:00:00,8:45:05,-0:45:05,,>30 Days,,,,,500
A501,https://lookup.housing.com/opportunity/1386888,-,Swagat Group,Swagat Group - Divine Sanidhya,Gandhinagar,1601531,,1,Shah Purav,Anil,,Virtual_Full_Project_Digitour,Final Delivery,17-Apr-2025,Ankur Sharma,,324:50:00,407:09:10,-82:19:10,,,,,,,501
A503,https://lookup.housing.com/opportunity/5041381,,SYUG,SYUG,Bangalore,1849223,,1,Deepak Kumar Panigrahy,Jagadish,,Slice_View,Deemed Consumed,28-Feb-2025,,,0:00:00,0:00:00,0:00:00,,,,,,,503
A508,https://lookup.housing.com/opportunity/5366833,,M G R PROJECTS,M G R PROJECTS - Kadapa - Aerial,Bangalore,1891545,Dependent Product,4,Bishnu Sahu,Jagadish,15,RenderViews_StillImages,Final Delivery,21-Mar-2025,Parth Kaushik,,43:00:00,38:54:45,4:05:15,,,,,,,508
A509,https://lookup.housing.com/opportunity/5366833,,M G R PROJECTS,M G R PROJECTS - Kadapa -Interior,Bangalore,1891542,Dependent Product,9,Bishnu Sahu,Jagadish,17,RenderViews_StillImages,Final Delivery,19-Mar-2025,Parth Kaushik,,0:00:00,0:00:00,0:00:00,,,,,,,509
A510,https://lookup.housing.com/opportunity/5366833,,M G R PROJECTS,M G R PROJECTS - Kadapa - Exterior,Bangalore,1891533,Dependent Product,10,Bishnu Sahu,Jagadish,15,RenderViews_StillImages,Final Delivery,21-Mar-2025,Parth Kaushik,,182:00:00,173:19:38,8:40:22,,,,,,,510
A514,https://lookup.housing.com/opportunity/5364048,,Kasturi Developers,Kasturi Developers - Avenue Hills & Prime Avenue 3bhks,Mumbai,1890490,Dependent Product,2,Kanchan Ritesh Jha,Anil,,Virtual_Apartment_Digitour,Final Delivery,18-Mar-2025,Ankur Sharma,,28:00:00,35:04:15,-7:04:15,,,,,,,514
A515,https://lookup.housing.com/opportunity/5364048,,Kasturi Developers,Kasturi Developers - Vaman Heritage,Mumbai,1890490,Dependent Product,1,Kanchan Ritesh Jha,Anil,,Virtual_Apartment_Digitour,Final Delivery,18-Mar-2025,Ankur Sharma,,22:30:00,27:48:39,-5:18:39,,,,,,,515
A529,https://lookup.housing.com/opportunity/5723842,-,Sameera Estates Pvt Ltd,Sameera Estates Pvt Ltd,Chennai,1955722,,1,Udhaya Sankar,Anil,,Digiplot,Opp Dropped,23-Apr-2025,,,0:00:00,0:00:00,0:00:00,,,,,,,529
A531,https://lookup.housing.com/opportunity/5567668,-,Konnark Group,Konnark Group,Mumbai,1925013,Dependent Product,2,Priti Tulsyan,Anil,,Short_Video,Sales Confirmation,27-Jan-2025,,,0:00:00,0:00:00,0:00:00,,,,,,,531
A532,https://lookup.housing.com/opportunity/5567668,-,Konnark Group,Konnark Group,Mumbai,1925009,Dependent Product,1,Priti Tulsyan,Anil,,Virtual_Apartment_Digitour,Sales Confirmation,27-Jan-2025,,,0:00:00,0:00:00,0:00:00,,,,,,,532
A533,https://lookup.housing.com/opportunity/5567668,-,Konnark Group,Konnark Group - Q3 - 3Mins,Mumbai,1925008,Dependent Product,1,Priti Tulsyan,Anil,,Walkthrough,Sales Confirmation,27-Jan-2025,,,76:00:00,88:05:41,-12:05:41,,,,,,,533
A535,https://lookup.housing.com/opportunity/5777713,-,VENUS STAR CONSTRUCTION PVT. LTD.,VENUS STAR CONSTRUCTION PVT. LTD.,Patna,1970212,Dependent Product,1,Junaid Azmi,Anil,,Virtual_Full_Project_Digitour,1st Cut Delivery,2-Jun-2025,Ankur Sharma,,696:13:00,735:23:35,-39:10:35,,>7 Days,,,,,535
A536,https://lookup.housing.com/opportunity/5777713,HNH'25,VENUS STAR CONSTRUCTION PVT. LTD.,VENUS STAR CONSTRUCTION PVT. LTD.,Patna,1970287,Dependent Product,1,Junaid Azmi,Anil,,Virtual_Apartment_Digitour,Sales Confirmation,3-Feb-2025,Ankur Sharma,,0:00:00,0:00:00,0:00:00,,,,,,,536
A538,https://lookup.housing.com/opportunity/5761915,HNH'25,M1 Homes,M1 Homes,Bangalore,1964336,,1,S Zilani Basha,Jagadish,,Virtual_Full_Project_Digitour,Opp Dropped,13-Mar-2025,,,431:00:00,450:13:39,-19:13:39,,,,,,,538
A540,https://lookup.housing.com/opportunity/5839122,-,Ram Constructions Dwarka,Ram Constructions Dwarka,Nashik,1981742,,1,Amol Madhukar Rakibe,Anil,,Virtual_Apartment_Digitour,Deemed Consumed,7-May-2025,,,0:00:00,0:00:00,0:00:00,,,,,,,540
A542,https://lookup.housing.com/opportunity/5897610,-,Nivasa Developers,Nivasa Developers,Mumbai,1995635,Dependent Product,1,Ebrahim Khalil Mohammad Ali Haider,Anil,,Virtual_Full_Project_Digitour,Final Delivery,14-May-2025,Ankur Sharma,,506:52:00,552:07:48,-45:15:48,,,,,,,542
A543,https://lookup.housing.com/opportunity/5897610,-,Nivasa Developers,Nivasa Developers - Q4 - 3Mins,Mumbai,1994832,Dependent Product,1,Ebrahim Khalil Mohammad Ali Haider,Anil,,Walkthrough,Purchase Date,17-Feb-2025,Ankur Sharma,,216:30:00,172:01:58,44:28:02,,,,,,,543
A545,https://lookup.housing.com/opportunity/5955027,HNH'25,IITL Nimbus Group,IITL Nimbus Group,Noida,2004676,,1,Sachin Sharma,Jagadish,,Virtual_Full_Project_Digitour,2nd Rework End,19-May-2025,,,520:39:00,503:29:56,17:09:04,,>7 Days,,Approval recived SPM & CH for second time rework on Tower modeling ,,,545
A546,https://lookup.housing.com/opportunity/5925588,,Mana Projects Pvt Ltd,Mana Projects Pvt Ltd - Aerial,Bangalore,1998461,,1,Deepak Kumar Panigrahy,Jagadish,,RenderViews_StillImages,Final Delivery,19-Mar-2025,,,55:30:00,50:32:54,4:57:06,,,,,,,546
A547,https://lookup.housing.com/opportunity/5925588,,Mana Projects Pvt Ltd,Mana Projects Pvt Ltd - Exterior,Bangalore,1998457,,7,Deepak Kumar Panigrahy,Jagadish,,RenderViews_StillImages,Final Delivery,19-Mar-2025,,,41:00:00,38:17:13,2:42:47,,,,,,,547
A548,https://lookup.housing.com/opportunity/5925588,,Mana Projects Pvt Ltd,Mana Projects Pvt Ltd,Bangalore,1998447,,2,Deepak Kumar Panigrahy,Jagadish,,Virtual_Apartment_Digitour,Final Delivery,27-May-2025,Garima,3,30:30:00,31:12:59,-0:42:59,,,,Approval recived ofr 2nd time changes ,,,548
A549,https://lookup.housing.com/opportunity/5879837,HNH'25,Alpha Corp,Alpha Corp,Gurgaon,1990612,,1,Anjali Baluni,Jagadish,,Virtual_Apartment_Digitour,Final Delivery,24-Apr-2025,,,21:15:00,20:12:12,1:02:48,,,,RBH approval dealyed ,,,549
A550,https://lookup.housing.com/opportunity/6026907,-,AV Bhat Constructs,AV Bhat Constructs,Pune,2019748,,1,Mohit Laddha,Anil,,Real_Apartment_Digitour,Final Delivery,11-Mar-2025,,,0:00:00,0:00:00,0:00:00,,,,,,,550
A551,https://lookup.housing.com/opportunity/6018766,HNH'25,M1 Homes,M1 Homes,Bangalore,2017676,,1,S Zilani Basha,Jagadish,,Virtual_Full_Project_Digitour,1st Cut Delivery,9-May-2025,Ankur Sharma,,0:00:00,0:00:00,0:00:00,,>30 Days,,,,,551
A552,https://lookup.housing.com/opportunity/5827621,-,Reliant Housing LLP,Floresta (Quality 4),Jaipur,1978874,,1,Jatin Katara,Jagadish,,Walkthrough,Tower Modeling End,21-Apr-2025,,,638:30:00,637:15:44,1:14:16,,>30 Days,,,,,552
A553,https://lookup.housing.com/opportunity/5910160,HNH'25,MSR Shelters llp,MSR Shelters llp,Bangalore,1995823,,1,Pratik Praveen Kalghatgi,Jagadish,,Virtual_Apartment_Digitour,Final Delivery,13-Mar-2025,,,12:00:00,24:03:04,-12:03:04,,,,,,,553
A554,https://lookup.housing.com/opportunity/5992389,HNH'25,Rachana Lifestyle,Rachana Lifestyle,Pune,2011686,,1,Madhur Mohan,Anil,,Virtual_Apartment_Digitour,Final Delivery,22-Apr-2025,Ankur Sharma,,16:30:00,16:36:06,-0:06:06,,,,,,,554
A555,https://lookup.housing.com/opportunity/5958889,-,DR Group,DR Group,Surat,2005270,,1,Trivedi Manthan Prakashbhai,Anil,,Virtual_Apartment_Digitour,Final Delivery,26-May-2025,Ankur Sharma,,29:30:00,61:51:32,-32:21:32,,,,,,,555
A556,https://lookup.housing.com/opportunity/6068607,,VVIP,VVIP,Noida,2028788,Dependent Product,1,Manisha Mehla,Jagadish,,Virtual_Apartment_Digitour,Opp Dropped,19-Mar-2025,Gagan ,,0:00:00,0:00:00,0:00:00,,,,,,,556
A557,https://lookup.housing.com/opportunity/6068607,,VVIP,VVIP,Noida,2028744,Dependent Product,1,Manisha Mehla,Jagadish,,Virtual_Full_Project_Digitour,Opp Dropped,19-Mar-2025,Gagan ,,0:00:00,0:00:00,0:00:00,,,,,,,557
A558,https://lookup.housing.com/opportunity/5483648,,RG Unique Structures Pvt Ltd,RG Unique Structures Pvt Ltd (Quality 2),Bangalore,1920524,,1,Pobbati Balaji,Jagadish,,Walkthrough,Playblast Delivery,28-Apr-2025,Vishal,,272:30:00,249:08:17,23:21:43,,>30 Days,,,,,558
A559,https://lookup.housing.com/opportunity/5993360,HNH'25,KKT CONSTRUCTIONS PVT LTD,KKT CONSTRUCTIONS PVT LTD,Darbhanga,2011903,,1,Manish Kumar Sah,Anil,,Virtual_Apartment_Digitour,Final Delivery,17-Mar-2025,Ankur Sharma,,12:00:00,12:12:41,-0:12:41,,,,,,,559
A560,https://lookup.housing.com/opportunity/6000835,HNH'25,Varanasi Development Authority,Varanasi Development Authority,Varanasi,2013640,,1,Shashank Verma,Anil,55,Digiplot,2nd Rework End,25-Apr-2025,,,0:00:00,0:00:00,0:00:00,,>30 Days,Abhiudaya and Suman sir approval for new layout,,,,560
A561,https://lookup.housing.com/opportunity/5940349,HNH'25,DEVSHREE INFRATECH PRIVATE LIMITED,DEVSHREE INFRATECH PRIVATE LIMITED,Patna,2001538,,1,Junaid Azmi,Anil,,Virtual_Apartment_Digitour,Final Delivery,27-Mar-2025,Ankur Sharma,,12:00:00,18:02:39,-6:02:39,,,,,,,561
A562,https://lookup.housing.com/opportunity/6063819,,DRAGON AGE REALTORS Pvt. Ltd.,DRAGON AGE REALTORS Pvt. Ltd.,Lucknow,2033164,Dependent Product,1,Jasmeet Singh,Jagadish,,Virtual_Apartment_Digitour,Final Delivery,20-May-2025,,3,30:00:00,28:00:29,1:59:31,,,,,,,562
A563,https://lookup.housing.com/opportunity/6063819,,DRAGON AGE REALTORS Pvt. Ltd.,DRAGON AGE REALTORS Pvt. Ltd.,Lucknow,2033104,Dependent Product,1,Jasmeet Singh,Jagadish,,Virtual_Full_Project_Digitour,Final Delivery,20-May-2025,,3,133:30:00,139:54:22,-6:24:22,,,,,,,563
A564,https://lookup.housing.com/opportunity/5629699,HNH'25,Anusthan Group,Anusthan Group,Ahmedabad,1940617,,1,Sheth Sagar Rajendrabhai,Anil,,Virtual_Apartment_Digitour,Final Delivery,7-Apr-2025,,,15:00:00,13:51:07,1:08:53,,,,,,,564
A565,https://lookup.housing.com/opportunity/5833467,HNH'25,Himalaya Hirise Private Limited,Himalaya Hirise Private Limited,Patna,1982511,,1,Piyoosh Kumar,Anil,,Virtual_Apartment_Digitour,Final Delivery,8-Apr-2025,,,12:20:00,11:24:35,0:55:25,,,,,,,565
A566,https://lookup.housing.com/opportunity/5831971,-,Badhekar Developers,Badhekar Developers,Pune,1979882,,1,Darshan Arjun Pingat,Anil,,Virtual_Apartment_Digitour,Final Delivery,30-Apr-2025,,,11:00:00,11:06:34,-0:06:34,,,,,,,566
A567,https://lookup.housing.com/opportunity/5862925,HNH'25,Leela Residency,Leela Residency,Mohali,1987320,,2,Khagesh Mahajan,Jagadish,,Virtual_Apartment_Digitour,Final Delivery,1-Apr-2025,,,32:00:00,31:43:41,0:16:19,,,,We have recived 100% rewor and used 3rd digitour product ,,,567
A568,https://lookup.housing.com/opportunity/6114380,,VVIP,VVIP,Noida,2053546,Dependent Product,1,Manisha Mehla,Jagadish,,Virtual_Apartment_Digitour,Final Delivery,24-Apr-2025,,,74:30:00,75:02:17,-0:32:17,,,,,,,568
A569,https://lookup.housing.com/opportunity/6114380,,VVIP,VVIP,Noida,2053535,Dependent Product,1,Manisha Mehla,Jagadish,50,Virtual_Full_Project_Digitour,Final Delivery,19-May-2025,,,326:35:00,324:18:05,2:16:55,,,,,,,569
A570,https://lookup.housing.com/opportunity/6017715,HNH'25,Shaligram Group,Shaligram Group,Pune,2017313,,1,Shashank Dattaraj Narad,Anil,,Real_Apartment_Digitour,Final Delivery,26-Mar-2025,,,0:00:00,0:00:00,0:00:00,,,,,,,570
A571,https://lookup.housing.com/opportunity/5949739,HNH'25,"RBC group
",RBC group,Chandigarh,,,2,Neha Sood | Vikas ,Jagadish,,Virtual_Villa_Digitour,Final Delivery,25-Apr-2025,,,18:00:00,16:57:39,1:02:21,,,,,,,571
A572,https://lookup.housing.com/opportunity/6317975,,Mana Projects Pvt Ltd (Drone + Walkthrough (1 Min)),The Right Life,Bangalore,2082066,Dependent Product,1,Deepak Kumar Panigrahy,Jagadish,,Walkthrough,Final Delivery,6-Jun-2025,,,157:30:00,164:24:46,-6:54:46,,,,,,,572
A573,https://lookup.housing.com/opportunity/6317975,,Mana Projects Pvt Ltd (4K Custom Walkthrough (3 Min)),The Right Life,Bangalore,2082067,Dependent Product,1,Deepak Kumar Panigrahy,Jagadish,,Walkthrough,Sales Confirmation,31-Mar-2025,,,36:00:00,33:55:20,2:04:40,,,,,,,573
A574,https://lookup.housing.com/opportunity/6317975,,Mana Projects Pvt Ltd (Master Floorplan),The Right Life,Bangalore,2082106,,1,Deepak Kumar Panigrahy,Jagadish,30,3d/2d_Floor_plan,1st Cut Delivery,29-Apr-2025,,,92:30:00,95:21:49,-2:51:49,,>30 Days,,,,,574
